birdX,birdY,uppperPipeX,upperPipeY,lowerPipeX,lowerPipeY,action
57,256,256,-180,256,240,0
57,254,252,-180,252,240,0
57,253,248,-180,248,240,0
57,253,244,-180,244,240,0
57,254,240,-180,240,240,0
57,256,236,-180,236,240,0
57,259,232,-180,232,240,0
57,263,228,-180,228,240,0
57,268,224,-180,224,240,0
57,274,220,-180,220,240,0
57,281,216,-180,216,240,0
57,289,212,-180,212,240,0
57,298,208,-180,208,240,0
57,308,204,-180,204,240,0
57,318,200,-180,200,240,0
57,309,196,-180,196,240,1
57,301,192,-180,192,240,0
57,294,188,-180,188,240,0
57,288,184,-180,184,240,0
57,283,180,-180,180,240,0
57,279,176,-180,176,240,0
57,276,172,-180,172,240,0
57,274,168,-180,168,240,0
57,265,164,-180,164,240,1
57,257,160,-180,160,240,0
57,250,156,-180,156,240,0
57,244,152,-180,152,240,0
57,239,148,-180,148,240,0
57,235,144,-180,144,240,0
57,226,140,-180,140,240,1
57,218,136,-180,136,240,0
57,211,132,-180,132,240,0
57,205,128,-180,128,240,0
57,200,124,-180,124,240,0
57,196,120,-180,120,240,0
57,193,116,-180,116,240,0
57,191,112,-180,112,240,0
57,190,108,-180,108,240,0
57,190,104,-180,104,240,0
57,181,100,-180,100,240,1
57,173,96,-180,96,240,0
57,166,92,-180,92,240,0
57,160,88,-180,88,240,0
57,155,84,-180,84,240,0
57,151,80,-180,80,240,0
57,148,76,-180,76,240,0
57,146,72,-180,72,240,0
57,145,68,-180,68,240,0
57,145,64,-180,64,240,0
57,146,60,-180,60,240,0
57,148,56,-180,56,240,0
57,151,52,-180,52,240,0
57,155,48,-180,48,240,0
57,160,44,-180,44,240,0
57,166,40,-180,40,240,0
57,173,36,-180,36,240,0
57,181,32,-180,32,240,0
57,190,28,-180,28,240,0
57,181,24,-180,24,240,1
57,173,20,-180,20,240,0
57,166,16,-180,16,240,0
57,160,12,-180,12,240,0
57,155,8,-180,8,240,0
57,151,4,-180,4,240,0
57,148,0,-180,0,240,0
57,146,-4,-180,-4,240,0
57,145,-8,-180,-8,240,0
57,145,-12,-180,-12,240,0
57,146,-16,-180,-16,240,0
57,148,-20,-180,-20,240,0
57,151,-24,-180,-24,240,0
57,155,-28,-180,-28,240,0
57,160,-32,-180,-32,240,0
57,166,-36,-180,-36,240,0
57,157,-40,-180,-40,240,1
57,149,-44,-180,-44,240,0
57,142,-48,-180,-48,240,0
57,136,-52,-180,-52,240,0
57,131,88.0,-231,88.0,189,0
57,127,84.0,-231,84.0,189,0
57,124,80.0,-231,80.0,189,0
57,122,76.0,-231,76.0,189,0
57,121,72.0,-231,72.0,189,0
57,121,68.0,-231,68.0,189,0
57,122,64.0,-231,64.0,189,0
57,124,60.0,-231,60.0,189,0
57,127,56.0,-231,56.0,189,0
57,131,52.0,-231,52.0,189,0
